DATE,PCEPILFE
1959-01-01,16.688
1959-02-01,16.701
1959-03-01,16.719
1959-04-01,16.762
1959-05-01,16.783
1959-06-01,16.832
1959-07-01,16.871
1959-08-01,16.899
1959-09-01,16.943
1959-10-01,16.972
1959-11-01,17.003
1959-12-01,17.029
1960-01-01,17.033
1960-02-01,17.065
1960-03-01,17.067
1960-04-01,17.098
1960-05-01,17.125
1960-06-01,17.136
1960-07-01,17.166
1960-08-01,17.191
1960-09-01,17.204
1960-10-01,17.214
1960-11-01,17.26
1960-12-01,17.255
1961-01-01,17.259
1961-02-01,17.276
1961-03-01,17.282
1961-04-01,17.306
1961-05-01,17.328
1961-06-01,17.354
1961-07-01,17.381
1961-08-01,17.399
1961-09-01,17.434
1961-10-01,17.44
1961-11-01,17.443
1961-12-01,17.458
1962-01-01,17.478
1962-02-01,17.507
1962-03-01,17.548
1962-04-01,17.551
1962-05-01,17.576
1962-06-01,17.608
1962-07-01,17.623
1962-08-01,17.626
1962-09-01,17.66
1962-10-01,17.659
1962-11-01,17.672
1962-12-01,17.677
1963-01-01,17.711
1963-02-01,17.731
1963-03-01,17.742
1963-04-01,17.763
1963-05-01,17.795
1963-06-01,17.826
1963-07-01,17.842
1963-08-01,17.858
1963-09-01,17.89
1963-10-01,17.93
1963-11-01,17.947
1963-12-01,17.972
1964-01-01,17.997
1964-02-01,18.031
1964-03-01,18.048
1964-04-01,18.065
1964-05-01,18.08
1964-06-01,18.093
1964-07-01,18.111
1964-08-01,18.135
1964-09-01,18.143
1964-10-01,18.149
1964-11-01,18.176
1964-12-01,18.201
1965-01-01,18.226
1965-02-01,18.248
1965-03-01,18.258
1965-04-01,18.28
1965-05-01,18.314
1965-06-01,18.309
1965-07-01,18.327
1965-08-01,18.362
1965-09-01,18.384
1965-10-01,18.377
1965-11-01,18.411
1965-12-01,18.467
1966-01-01,18.473
1966-02-01,18.518
1966-03-01,18.542
1966-04-01,18.608
1966-05-01,18.657
1966-06-01,18.718
1966-07-01,18.773
1966-08-01,18.807
1966-09-01,18.865
1966-10-01,18.927
1966-11-01,18.975
1966-12-01,19.032
1967-01-01,19.05
1967-02-01,19.084
1967-03-01,19.113
1967-04-01,19.165
1967-05-01,19.208
1967-06-01,19.257
1967-07-01,19.322
1967-08-01,19.382
1967-09-01,19.45
1967-10-01,19.523
1967-11-01,19.585
1967-12-01,19.633
1968-01-01,19.72
1968-02-01,19.805
1968-03-01,19.884
1968-04-01,19.957
1968-05-01,20.033
1968-06-01,20.111
1968-07-01,20.178
1968-08-01,20.257
1968-09-01,20.339
1968-10-01,20.422
1968-11-01,20.498
1968-12-01,20.56
1969-01-01,20.638
1969-02-01,20.709
1969-03-01,20.805
1969-04-01,20.886
1969-05-01,20.969
1969-06-01,21.041
1969-07-01,21.139
1969-08-01,21.199
1969-09-01,21.284
1969-10-01,21.375
1969-11-01,21.457
1969-12-01,21.537
1970-01-01,21.608
1970-02-01,21.691
1970-03-01,21.772
1970-04-01,21.857
1970-05-01,21.934
1970-06-01,22.014
1970-07-01,22.098
1970-08-01,22.174
1970-09-01,22.267
1970-10-01,22.376
1970-11-01,22.492
1970-12-01,22.605
1971-01-01,22.694
1971-02-01,22.78
1971-03-01,22.853
1971-04-01,22.939
1971-05-01,23.039
1971-06-01,23.129
1971-07-01,23.218
1971-08-01,23.251
1971-09-01,23.289
1971-10-01,23.326
1971-11-01,23.379
1971-12-01,23.452
1972-01-01,23.552
1972-02-01,23.615
1972-03-01,23.662
1972-04-01,23.717
1972-05-01,23.772
1972-06-01,23.819
1972-07-01,23.888
1972-08-01,23.938
1972-09-01,24.018
1972-10-01,24.032
1972-11-01,24.095
1972-12-01,24.168
1973-01-01,24.183
1973-02-01,24.259
1973-03-01,24.357
1973-04-01,24.498
1973-05-01,24.593
1973-06-01,24.699
1973-07-01,24.805
1973-08-01,24.921
1973-09-01,25.046
1973-10-01,25.143
1973-11-01,25.264
1973-12-01,25.404
1974-01-01,25.529
1974-02-01,25.692
1974-03-01,25.892
1974-04-01,26.086
1974-05-01,26.337
1974-06-01,26.607
1974-07-01,26.843
1974-08-01,27.101
1974-09-01,27.345
1974-10-01,27.559
1974-11-01,27.76
1974-12-01,27.956
1975-01-01,28.119
1975-02-01,28.318
1975-03-01,28.466
1975-04-01,28.604
1975-05-01,28.725
1975-06-01,28.866
1975-07-01,29.044
1975-08-01,29.144
1975-09-01,29.302
1975-10-01,29.448
1975-11-01,29.643
1975-12-01,29.823
1976-01-01,29.976
1976-02-01,30.095
1976-03-01,30.195
1976-04-01,30.312
1976-05-01,30.456
1976-06-01,30.579
1976-07-01,30.748
1976-08-01,30.925
1976-09-01,31.106
1976-10-01,31.258
1976-11-01,31.401
1976-12-01,31.571
1977-01-01,31.763
1977-02-01,31.958
1977-03-01,32.094
1977-04-01,32.253
1977-05-01,32.417
1977-06-01,32.611
1977-07-01,32.813
1977-08-01,32.973
1977-09-01,33.113
1977-10-01,33.273
1977-11-01,33.445
1977-12-01,33.618
1978-01-01,33.819
1978-02-01,33.949
1978-03-01,34.133
1978-04-01,34.354
1978-05-01,34.556
1978-06-01,34.749
1978-07-01,34.953
1978-08-01,35.141
1978-09-01,35.343
1978-10-01,35.603
1978-11-01,35.794
1978-12-01,35.934
1979-01-01,36.118
1979-02-01,36.235
1979-03-01,36.444
1979-04-01,36.78
1979-05-01,37.1
1979-06-01,37.308
1979-07-01,37.495
1979-08-01,37.744
1979-09-01,38.002
1979-10-01,38.279
1979-11-01,38.524
1979-12-01,38.801
1980-01-01,39.095
1980-02-01,39.485
1980-03-01,39.851
1980-04-01,40.056
1980-05-01,40.378
1980-06-01,40.646
1980-07-01,40.932
1980-08-01,41.228
1980-09-01,41.616
1980-10-01,41.959
1980-11-01,42.289
1980-12-01,42.544
1981-01-01,42.912
1981-02-01,43.226
1981-03-01,43.466
1981-04-01,43.744
1981-05-01,44.045
1981-06-01,44.265
1981-07-01,44.532
1981-08-01,44.83
1981-09-01,45.124
1981-10-01,45.393
1981-11-01,45.658
1981-12-01,45.826
1982-01-01,46.108
1982-02-01,46.286
1982-03-01,46.488
1982-04-01,46.672
1982-05-01,46.927
1982-06-01,47.162
1982-07-01,47.468
1982-08-01,47.686
1982-09-01,47.863
1982-10-01,48.166
1982-11-01,48.344
1982-12-01,48.498
1983-01-01,48.83
1983-02-01,49.011
1983-03-01,49.073
1983-04-01,49.222
1983-05-01,49.293
1983-06-01,49.523
1983-07-01,49.856
1983-08-01,50.113
1983-09-01,50.316
1983-10-01,50.405
1983-11-01,50.523
1983-12-01,50.56
1984-01-01,50.729
1984-02-01,51.049
1984-03-01,51.242
1984-04-01,51.483
1984-05-01,51.602
1984-06-01,51.724
1984-07-01,51.947
1984-08-01,52.118
1984-09-01,52.198
1984-10-01,52.315
1984-11-01,52.426
1984-12-01,52.634
