observation_date,PCEPILFE
1959-01-01,15.501
1959-02-01,15.513
1959-03-01,15.531
1959-04-01,15.570
1959-05-01,15.589
1959-06-01,15.635
1959-07-01,15.672
1959-08-01,15.697
1959-09-01,15.738
1959-10-01,15.765
1959-11-01,15.794
1959-12-01,15.818
1960-01-01,15.822
1960-02-01,15.852
1960-03-01,15.853
1960-04-01,15.882
1960-05-01,15.908
1960-06-01,15.917
1960-07-01,15.945
1960-08-01,15.968
1960-09-01,15.981
1960-10-01,15.990
1960-11-01,16.033
1960-12-01,16.028
1961-01-01,16.032
1961-02-01,16.048
1961-03-01,16.053
1961-04-01,16.075
1961-05-01,16.096
1961-06-01,16.120
1961-07-01,16.145
1961-08-01,16.162
1961-09-01,16.194
1961-10-01,16.199
1961-11-01,16.202
1961-12-01,16.216
1962-01-01,16.235
1962-02-01,16.262
1962-03-01,16.300
1962-04-01,16.303
1962-05-01,16.326
1962-06-01,16.356
1962-07-01,16.370
1962-08-01,16.372
1962-09-01,16.404
1962-10-01,16.403
1962-11-01,16.415
1962-12-01,16.420
1963-01-01,16.451
1963-02-01,16.470
1963-03-01,16.480
1963-04-01,16.500
1963-05-01,16.530
1963-06-01,16.558
1963-07-01,16.573
1963-08-01,16.588
1963-09-01,16.618
1963-10-01,16.655
1963-11-01,16.670
1963-12-01,16.694
1964-01-01,16.717
1964-02-01,16.749
1964-03-01,16.765
1964-04-01,16.780
1964-05-01,16.794
1964-06-01,16.806
1964-07-01,16.823
1964-08-01,16.845
1964-09-01,16.852
1964-10-01,16.859
1964-11-01,16.883
1964-12-01,16.907
1965-01-01,16.930
1965-02-01,16.950
1965-03-01,16.960
1965-04-01,16.980
1965-05-01,17.011
1965-06-01,17.007
1965-07-01,17.024
1965-08-01,17.056
1965-09-01,17.076
1965-10-01,17.070
1965-11-01,17.102
1965-12-01,17.154
1966-01-01,17.159
1966-02-01,17.201
1966-03-01,17.223
1966-04-01,17.285
1966-05-01,17.331
1966-06-01,17.387
1966-07-01,17.438
1966-08-01,17.470
1966-09-01,17.524
1966-10-01,17.581
1966-11-01,17.625
1966-12-01,17.679
1967-01-01,17.695
1967-02-01,17.727
1967-03-01,17.754
1967-04-01,17.803
1967-05-01,17.842
1967-06-01,17.887
1967-07-01,17.948
1967-08-01,18.003
1967-09-01,18.067
1967-10-01,18.134
1967-11-01,18.192
1967-12-01,18.237
1968-01-01,18.318
1968-02-01,18.397
1968-03-01,18.470
1968-04-01,18.538
1968-05-01,18.608
1968-06-01,18.681
1968-07-01,18.743
1968-08-01,18.816
1968-09-01,18.892
1968-10-01,18.969
1968-11-01,19.041
1968-12-01,19.098
1969-01-01,19.170
1969-02-01,19.236
1969-03-01,19.326
1969-04-01,19.400
1969-05-01,19.478
1969-06-01,19.545
1969-07-01,19.636
1969-08-01,19.691
1969-09-01,19.770
1969-10-01,19.855
1969-11-01,19.931
1969-12-01,20.005
1970-01-01,20.071
1970-02-01,20.148
1970-03-01,20.223
1970-04-01,20.303
1970-05-01,20.375
1970-06-01,20.448
1970-07-01,20.526
1970-08-01,20.597
1970-09-01,20.683
1970-10-01,20.785
1970-11-01,20.892
1970-12-01,20.997
1971-01-01,21.080
1971-02-01,21.160
1971-03-01,21.228
1971-04-01,21.307
1971-05-01,21.400
1971-06-01,21.485
1971-07-01,21.567
1971-08-01,21.597
1971-09-01,21.633
1971-10-01,21.667
1971-11-01,21.716
1971-12-01,21.784
1972-01-01,21.877
1972-02-01,21.936
1972-03-01,21.979
1972-04-01,22.030
1972-05-01,22.081
1972-06-01,22.126
1972-07-01,22.189
1972-08-01,22.236
1972-09-01,22.310
1972-10-01,22.323
1972-11-01,22.382
1972-12-01,22.449
1973-01-01,22.463
1973-02-01,22.534
1973-03-01,22.625
1973-04-01,22.756
1973-05-01,22.844
1973-06-01,22.943
1973-07-01,23.041
1973-08-01,23.148
1973-09-01,23.265
1973-10-01,23.355
1973-11-01,23.468
1973-12-01,23.598
1974-01-01,23.714
1974-02-01,23.865
1974-03-01,24.051
1974-04-01,24.231
1974-05-01,24.464
1974-06-01,24.715
1974-07-01,24.934
1974-08-01,25.174
1974-09-01,25.400
1974-10-01,25.599
1974-11-01,25.786
1974-12-01,25.968
1975-01-01,26.119
1975-02-01,26.304
1975-03-01,26.441
1975-04-01,26.570
1975-05-01,26.683
1975-06-01,26.813
1975-07-01,26.978
1975-08-01,27.071
1975-09-01,27.218
1975-10-01,27.354
1975-11-01,27.535
1975-12-01,27.702
1976-01-01,27.844
1976-02-01,27.955
1976-03-01,28.047
1976-04-01,28.157
1976-05-01,28.290
1976-06-01,28.405
1976-07-01,28.561
1976-08-01,28.726
1976-09-01,28.894
1976-10-01,29.036
1976-11-01,29.168
1976-12-01,29.326
1977-01-01,29.505
1977-02-01,29.686
1977-03-01,29.812
1977-04-01,29.959
1977-05-01,30.112
1977-06-01,30.292
1977-07-01,30.479
1977-08-01,30.629
1977-09-01,30.758
1977-10-01,30.907
1977-11-01,31.067
1977-12-01,31.227
1978-01-01,31.414
1978-02-01,31.535
1978-03-01,31.706
1978-04-01,31.911
1978-05-01,32.099
1978-06-01,32.278
1978-07-01,32.468
1978-08-01,32.642
1978-09-01,32.830
1978-10-01,33.071
1978-11-01,33.249
1978-12-01,33.378
1979-01-01,33.549
1979-02-01,33.659
1979-03-01,33.852
1979-04-01,34.165
1979-05-01,34.462
1979-06-01,34.655
1979-07-01,34.829
1979-08-01,35.060
1979-09-01,35.299
1979-10-01,35.557
1979-11-01,35.784
1979-12-01,36.041
1980-01-01,36.315
1980-02-01,36.677
1980-03-01,37.017
1980-04-01,37.207
1980-05-01,37.507
1980-06-01,37.756
1980-07-01,38.021
1980-08-01,38.296
1980-09-01,38.657
1980-10-01,38.975
1980-11-01,39.282
1980-12-01,39.518
1981-01-01,39.861
1981-02-01,40.152
1981-03-01,40.375
1981-04-01,40.633
1981-05-01,40.913
1981-06-01,41.117
1981-07-01,41.365
1981-08-01,41.642
1981-09-01,41.915
1981-10-01,42.165
1981-11-01,42.411
1981-12-01,42.568
1982-01-01,42.829
1982-02-01,42.994
1982-03-01,43.182
1982-04-01,43.353
1982-05-01,43.589
1982-06-01,43.808
1982-07-01,44.092
1982-08-01,44.295
1982-09-01,44.459
1982-10-01,44.741
1982-11-01,44.906
1982-12-01,45.049
1983-01-01,45.357
1983-02-01,45.525
1983-03-01,45.583
1983-04-01,45.721
1983-05-01,45.787
1983-06-01,46.001
1983-07-01,46.311
1983-08-01,46.550
1983-09-01,46.738
1983-10-01,46.821
1983-11-01,46.930
1983-12-01,46.965
1984-01-01,47.121
1984-02-01,47.418
1984-03-01,47.598
1984-04-01,47.822
1984-05-01,47.933
1984-06-01,48.046
1984-07-01,48.253
1984-08-01,48.412
1984-09-01,48.486
1984-10-01,48.595
1984-11-01,48.698
1984-12-01,48.891
1985-01-01,49.165
1985-02-01,49.420
1985-03-01,49.593
1985-04-01,49.652
1985-05-01,49.823
1985-06-01,49.988
1985-07-01,50.134
1985-08-01,50.380
1985-09-01,50.484
1985-10-01,50.565
1985-11-01,50.689
1985-12-01,50.827
1986-01-01,51.101
1986-02-01,51.233
1986-03-01,51.389
1986-04-01,51.482
1986-05-01,51.570
1986-06-01,51.725
1986-07-01,51.819
1986-08-01,51.925
1986-09-01,52.096
1986-10-01,52.273
1986-11-01,52.384
1986-12-01,52.452
1987-01-01,52.578
1987-02-01,52.685
1987-03-01,52.841
1987-04-01,53.065
1987-05-01,53.214
1987-06-01,53.360
1987-07-01,53.498
1987-08-01,53.679
1987-09-01,53.892
1987-10-01,54.122
1987-11-01,54.235
1987-12-01,54.349
1988-01-01,54.606
1988-02-01,54.718
1988-03-01,54.952
1988-04-01,55.219
1988-05-01,55.407
1988-06-01,55.641
1988-07-01,55.868
1988-08-01,56.007
1988-09-01,56.307
1988-10-01,56.521
1988-11-01,56.676
1988-12-01,56.864
1989-01-01,57.152
1989-02-01,57.297
1989-03-01,57.468
1989-04-01,57.661
1989-05-01,57.833
1989-06-01,57.987
1989-07-01,58.136
1989-08-01,58.217
1989-09-01,58.419
1989-10-01,58.631
1989-11-01,58.787
1989-12-01,58.954
1990-01-01,59.181
1990-02-01,59.468
1990-03-01,59.754
1990-04-01,59.932
1990-05-01,60.115
1990-06-01,60.349
1990-07-01,60.501
1990-08-01,60.753
1990-09-01,60.965
1990-10-01,61.172
1990-11-01,61.246
1990-12-01,61.331
1991-01-01,61.637
1991-02-01,61.807
1991-03-01,61.936
1991-04-01,62.060
1991-05-01,62.307
1991-06-01,62.442
1991-07-01,62.632
1991-08-01,62.804
1991-09-01,63.055
1991-10-01,63.194
1991-11-01,63.312
1991-12-01,63.468
1992-01-01,63.641
1992-02-01,63.814
1992-03-01,63.973
1992-04-01,64.183
1992-05-01,64.273
1992-06-01,64.323
1992-07-01,64.566
1992-08-01,64.625
1992-09-01,64.730
1992-10-01,64.979
1992-11-01,65.121
1992-12-01,65.242
1993-01-01,65.432
1993-02-01,65.557
1993-03-01,65.700
1993-04-01,65.891
1993-05-01,66.114
1993-06-01,66.177
1993-07-01,66.314
1993-08-01,66.438
1993-09-01,66.538
1993-10-01,66.647
1993-11-01,66.819
1993-12-01,66.849
1994-01-01,66.902
1994-02-01,67.047
1994-03-01,67.275
1994-04-01,67.376
1994-05-01,67.526
1994-06-01,67.676
1994-07-01,67.818
1994-08-01,67.894
1994-09-01,67.997
1994-10-01,68.157
1994-11-01,68.282
1994-12-01,68.305
1995-01-01,68.475
1995-02-01,68.587
1995-03-01,68.755
1995-04-01,68.915
1995-05-01,69.032
1995-06-01,69.092
1995-07-01,69.201
1995-08-01,69.367
1995-09-01,69.458
1995-10-01,69.627
1995-11-01,69.672
1995-12-01,69.770
1996-01-01,69.849
1996-02-01,69.940
1996-03-01,70.102
1996-04-01,70.197
1996-05-01,70.319
1996-06-01,70.373
1996-07-01,70.505
1996-08-01,70.566
1996-09-01,70.780
1996-10-01,70.948
1996-11-01,71.041
1996-12-01,71.068
1997-01-01,71.144
1997-02-01,71.290
1997-03-01,71.460
1997-04-01,71.600
1997-05-01,71.652
1997-06-01,71.758
1997-07-01,71.807
1997-08-01,71.778
1997-09-01,71.927
1997-10-01,72.036
1997-11-01,72.058
1997-12-01,72.100
1998-01-01,72.210
1998-02-01,72.272
1998-03-01,72.349
1998-04-01,72.482
1998-05-01,72.552
1998-06-01,72.461
1998-07-01,72.665
1998-08-01,72.807
1998-09-01,72.795
1998-10-01,72.937
1998-11-01,72.950
1998-12-01,73.076
1999-01-01,73.180
1999-02-01,73.155
1999-03-01,73.177
1999-04-01,73.365
1999-05-01,73.435
1999-06-01,73.474
1999-07-01,73.606
1999-08-01,73.642
1999-09-01,73.837
1999-10-01,73.963
1999-11-01,74.034
1999-12-01,74.128
2000-01-01,74.306
2000-02-01,74.415
2000-03-01,74.568
2000-04-01,74.617
2000-05-01,74.697
2000-06-01,74.754
2000-07-01,74.925
2000-08-01,75.021
2000-09-01,75.203
2000-10-01,75.308
2000-11-01,75.441
2000-12-01,75.515
2001-01-01,75.796
2001-02-01,75.930
2001-03-01,76.009
2001-04-01,76.130
2001-05-01,76.148
2001-06-01,76.318
2001-07-01,76.515
2001-08-01,76.553
2001-09-01,76.118
2001-10-01,76.654
2001-11-01,76.810
2001-12-01,76.828
2002-01-01,76.871
2002-02-01,77.018
2002-03-01,77.110
2002-04-01,77.325
2002-05-01,77.411
2002-06-01,77.534
2002-07-01,77.692
2002-08-01,77.845
2002-09-01,77.972
2002-10-01,78.038
2002-11-01,78.114
2002-12-01,78.187
2003-01-01,78.240
2003-02-01,78.348
2003-03-01,78.474
2003-04-01,78.561
2003-05-01,78.674
2003-06-01,78.718
2003-07-01,78.915
2003-08-01,79.004
2003-09-01,79.114
2003-10-01,79.260
2003-11-01,79.368
2003-12-01,79.467
2004-01-01,79.671
2004-02-01,79.800
2004-03-01,79.934
2004-04-01,80.142
2004-05-01,80.252
2004-06-01,80.379
2004-07-01,80.474
2004-08-01,80.505
2004-09-01,80.656
2004-10-01,80.831
2004-11-01,81.005
2004-12-01,81.109
2005-01-01,81.401
2005-02-01,81.536
2005-03-01,81.737
2005-04-01,81.831
2005-05-01,81.999
2005-06-01,82.056
2005-07-01,82.176
2005-08-01,82.243
2005-09-01,82.425
2005-10-01,82.662
2005-11-01,82.873
2005-12-01,82.959
2006-01-01,83.145
2006-02-01,83.279
2006-03-01,83.509
2006-04-01,83.764
2006-05-01,83.974
2006-06-01,84.186
2006-07-01,84.268
2006-08-01,84.440
2006-09-01,84.573
2006-10-01,84.726
2006-11-01,84.766
2006-12-01,84.880
2007-01-01,85.224
2007-02-01,85.408
2007-03-01,85.494
2007-04-01,85.616
2007-05-01,85.717
2007-06-01,85.859
2007-07-01,85.988
2007-08-01,86.116
2007-09-01,86.351
2007-10-01,86.576
2007-11-01,86.746
2007-12-01,86.920
2008-01-01,87.093
2008-02-01,87.178
2008-03-01,87.349
2008-04-01,87.400
2008-05-01,87.559
2008-06-01,87.760
2008-07-01,87.918
2008-08-01,88.026
2008-09-01,88.116
2008-10-01,87.991
2008-11-01,87.952
2008-12-01,87.909
2009-01-01,87.882
2009-02-01,87.952
2009-03-01,88.015
2009-04-01,88.211
2009-05-01,88.279
2009-06-01,88.392
2009-07-01,88.468
2009-08-01,88.599
2009-09-01,88.755
2009-10-01,89.082
2009-11-01,89.160
2009-12-01,89.236
2010-01-01,89.368
2010-02-01,89.446
2010-03-01,89.579
2010-04-01,89.625
2010-05-01,89.724
2010-06-01,89.767
2010-07-01,89.769
2010-08-01,89.855
2010-09-01,89.906
2010-10-01,90.043
2010-11-01,90.160
2010-12-01,90.179
2011-01-01,90.372
2011-02-01,90.530
2011-03-01,90.667
2011-04-01,90.875
2011-05-01,91.091
2011-06-01,91.191
2011-07-01,91.326
2011-08-01,91.508
2011-09-01,91.570
2011-10-01,91.614
2011-11-01,91.808
2011-12-01,91.960
2012-01-01,92.235
2012-02-01,92.364
2012-03-01,92.521
2012-04-01,92.661
2012-05-01,92.755
2012-06-01,92.850
2012-07-01,92.946
2012-08-01,93.005
2012-09-01,93.119
2012-10-01,93.345
2012-11-01,93.445
2012-12-01,93.514
2013-01-01,93.703
2013-02-01,93.805
2013-03-01,93.891
2013-04-01,93.937
2013-05-01,94.047
2013-06-01,94.209
2013-07-01,94.329
2013-08-01,94.431
2013-09-01,94.543
2013-10-01,94.703
2013-11-01,94.860
2013-12-01,94.961
2014-01-01,95.064
2014-02-01,95.109
2014-03-01,95.250
2014-04-01,95.413
2014-05-01,95.574
2014-06-01,95.682
2014-07-01,95.848
2014-08-01,95.885
2014-09-01,96.013
2014-10-01,96.096
2014-11-01,96.181
2014-12-01,96.249
2015-01-01,96.214
2015-02-01,96.324
2015-03-01,96.470
2015-04-01,96.648
2015-05-01,96.766
2015-06-01,96.882
2015-07-01,96.978
2015-08-01,97.056
2015-09-01,97.196
2015-10-01,97.228
2015-11-01,97.332
2015-12-01,97.396
2016-01-01,97.567
2016-02-01,97.736
2016-03-01,97.876
2016-04-01,98.117
2016-05-01,98.284
2016-06-01,98.386
2016-07-01,98.529
2016-08-01,98.703
2016-09-01,98.834
2016-10-01,98.961
2016-11-01,99.005
2016-12-01,99.120
2017-01-01,99.385
2017-02-01,99.561
2017-03-01,99.519
2017-04-01,99.723
2017-05-01,99.803
2017-06-01,99.937
2017-07-01,100.010
2017-08-01,100.118
2017-09-01,100.240
2017-10-01,100.486
2017-11-01,100.535
2017-12-01,100.683
2018-01-01,101.007
2018-02-01,101.198
2018-03-01,101.419
2018-04-01,101.602
2018-05-01,101.780
2018-06-01,101.872
2018-07-01,102.006
2018-08-01,102.016
2018-09-01,102.205
2018-10-01,102.366
2018-11-01,102.556
2018-12-01,102.735
2019-01-01,102.870
2019-02-01,102.963
2019-03-01,103.058
2019-04-01,103.265
2019-05-01,103.371
2019-06-01,103.560
2019-07-01,103.678
2019-08-01,103.797
2019-09-01,103.873
2019-10-01,104.028
2019-11-01,104.092
2019-12-01,104.322
2020-01-01,104.488
2020-02-01,104.684
2020-03-01,104.596
2020-04-01,104.256
2020-05-01,104.370
2020-06-01,104.531
2020-07-01,104.900
2020-08-01,105.235
2020-09-01,105.395
2020-10-01,105.470
2020-11-01,105.578
2020-12-01,105.904
2021-01-01,106.244
2021-02-01,106.477
2021-03-01,106.898
2021-04-01,107.549
2021-05-01,108.103
2021-06-01,108.595
2021-07-01,109.062
2021-08-01,109.436
2021-09-01,109.657
2021-10-01,110.184
2021-11-01,110.792
2021-12-01,111.458
2022-01-01,111.988
2022-02-01,112.492
2022-03-01,112.916
2022-04-01,113.301
2022-05-01,113.709
2022-06-01,114.376
2022-07-01,114.638
2022-08-01,115.298
2022-09-01,115.805
2022-10-01,116.200
2022-11-01,116.554
2022-12-01,116.977
2023-01-01,117.526
2023-02-01,117.963
2023-03-01,118.304
2023-04-01,118.715
2023-05-01,119.063
2023-06-01,119.370
2023-07-01,119.536
2023-08-01,119.658
2023-09-01,120.040
2023-10-01,120.200
2023-11-01,120.309
2023-12-01,120.528
2024-01-01,121.128
2024-02-01,121.418
2024-03-01,121.829
2024-04-01,122.140
2024-05-01,122.239
