Product,Type,Category,Fabric,Release,Colors,Price,Re-up,Historic,MWU,InSitu,Image,Release Name
GD Cottonweight Merino T-Shirt,T-Shirt,Clothes,Cottonweight Merino,2017-10-17,"GD Black, GD Dry Rose",125,TRUE,FALSE,Men,https://shop.outlier.nyc/shop/retail/gd-cottonweight-merino-tshirt.html,https://outlier.nyc/productentries/products/gdcottonweightmerinotshirt/201-Outlier-GDCottonweightTshirt-GDDryRose.jpg,
Experiment 045 - Doublewool Hooded Vest,Vest,Clothes,"Merino, S120 Twill",2017-10-17,Black/Navy,595,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-045-doublewool-hooded-vest.html,https://outlier.nyc/productentries/products/doublewoolhoodedvest/201-Outlier-DoublewoolHoodedVest-blacknavy.jpg,
Slim Dungarees,Pants,Clothes,Workcloth,2017-10-10,"Bluetint Gray, Resonant Navy",198,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/slim-dungarees.html,https://outlier.nyc/productentries/products/slimdungarees/201-Outlier-SlimDungs-Flats-ResonantNavy.jpg,
Strongwool Snap Bandana,Bandana,Accessory,Strongwool Fleece,2017-10-10,"Light Gray, Dark Gray",98,TRUE,FALSE,Unisex,http://shop.outlier.nyc/shop/retail/strongwool-snap-bandana.html,https://outlier.nyc/productentries/products/strongwoolsnapbandana/203-Outlier-StrongwoolSnapBandana-darkgray-back.jpg,
Experiment 043 - Strongwool Vest,Vest,Clothes,Strongwool Fleece,2017-10-10,"Dark Gray, Light Gray",375,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-043-strongwool-vest.html,https://outlier.nyc/productentries/products/strongwoolvest/203-Outlier-StrongwoolVest-lightgray.jpg,
Experiment 042 - Strongwool Fleece Hoodie,Hoodie,Clothes,Strongwool Fleece,2017-10-10,"Dark Gray, Light Gray",395,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-042-strongwool-fleece-hoodie.html,https://outlier.nyc/productentries/products/strongwoolfleecehoodie/203-Outlier-StrongwoolHoodie-darkgray.jpg,
Experiment 041 - Duckworks,Pants,Clothes,Duck Canvas,2017-10-10,"Burnt Orange, Vanilla, Black Navy",295,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-041-duckworks.html,https://outlier.nyc/productentries/products/duckworks/203-Outlier-Duckworks-burntorange.jpg,
Experiment 040 - M-Back Leggings,Pants,Clothes,M-Back,2017-10-03,Black,267,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-040-mback-leggings.html,https://outlier.nyc/productentries/products/mbackleggings/201-Outlier-MBackLeggings-black-front.jpg,
M-Back Track Pants,Pants,Clothes,M-Back,2017-10-03,"Black, Midnight, Static",267,TRUE,FALSE,Men,http://shop.outlier.nyc/shop/retail/mback-track-pants.html,https://outlier.nyc/productentries/products/mbacktrackpants/203-Outlier-MBackTrackPants-static.jpg,
Grid Linen Towel S,Towel,Accessory,Linen,2017-10-03,"Gray Rock, Maroon, Natural Light",33,TRUE,FALSE,Unisex,http://shop.outlier.cc/shop/retail/grid-linen-towel.html,https://outlier.nyc/productentries/products/gridlinentowel/204-Outlier-GridLinenTowel-allcolors.jpg,
Grid Linen Towel M,Towel,Accessory,Linen,2017-10-03,"Gray Rock, Maroon, Natural Light",49,TRUE,FALSE,Unisex,http://shop.outlier.cc/shop/retail/grid-linen-towel.html,https://outlier.nyc/productentries/products/gridlinentowel/204-Outlier-GridLinenTowel-allcolors.jpg,
Grid Linen Towel L,Towel,Accessory,Linen,2017-10-03,"Gray Rock, Maroon, Natural Light",59,TRUE,FALSE,Unisex,http://shop.outlier.cc/shop/retail/grid-linen-towel.html,https://outlier.nyc/productentries/products/gridlinentowel/204-Outlier-GridLinenTowel-allcolors.jpg,
